issn,journal 
0040-1692,http://www.wikidata.org/entity/Q796078 
0178-4528,http://www.wikidata.org/entity/Q800259 
0067-4605,http://www.wikidata.org/entity/Q811399 
0005-6650,http://www.wikidata.org/entity/Q811408 
0341-2717,http://www.wikidata.org/entity/Q811508 
1866-2447,http://www.wikidata.org/entity/Q814465 
1437-8337,http://www.wikidata.org/entity/Q814591 
0005-8114,http://www.wikidata.org/entity/Q814929 
1861-9940,http://www.wikidata.org/entity/Q815927 
2073-0136,http://www.wikidata.org/entity/Q820352 
0949-5371,http://www.wikidata.org/entity/Q821553 
0722-9399,http://www.wikidata.org/entity/Q821844 
0149-4635,http://www.wikidata.org/entity/Q823373 
1696-5108,http://www.wikidata.org/entity/Q827097 
0341-4507,http://www.wikidata.org/entity/Q829475 
0943-4275,http://www.wikidata.org/entity/Q829480 
1614-8983,http://www.wikidata.org/entity/Q831722 
0179-2776,http://www.wikidata.org/entity/Q832174 
0144-5804,http://www.wikidata.org/entity/Q844480 
0740-7459,http://www.wikidata.org/entity/Q845647 
1937-4194,http://www.wikidata.org/entity/Q845647 
0025-5874,http://www.wikidata.org/entity/Q847858 
1432-1823,http://www.wikidata.org/entity/Q847858 
0253-9543,http://www.wikidata.org/entity/Q851422 
0067-8236,http://www.wikidata.org/entity/Q856556 
0006-1972,http://www.wikidata.org/entity/Q856594 
1022-3487,http://www.wikidata.org/entity/Q860331 
0895-2825,http://www.wikidata.org/entity/Q862148 
0264-6021,http://www.wikidata.org/entity/Q864221 
1470-8728,http://www.wikidata.org/entity/Q864221 
1533-4562,http://www.wikidata.org/entity/Q867820 
0141-0857,http://www.wikidata.org/entity/Q868378 
0007-7704,http://www.wikidata.org/entity/Q871189 
1868-9027,http://www.wikidata.org/entity/Q871189 
1367-2630,http://www.wikidata.org/entity/Q871387 
1084-2462,http://www.wikidata.org/entity/Q880308 
1862-5444,http://www.wikidata.org/entity/Q883108 
0350-7440,http://www.wikidata.org/entity/Q893337 
0006-8950,http://www.wikidata.org/entity/Q897386 
1460-2156,http://www.wikidata.org/entity/Q897386 
1552-4450,http://www.wikidata.org/entity/Q904026 
1552-4469,http://www.wikidata.org/entity/Q904026 
0068-113X,http://www.wikidata.org/entity/Q918039 
1753-5352,http://www.wikidata.org/entity/Q918039 
0895-3309,http://www.wikidata.org/entity/Q918465 
1944-7965,http://www.wikidata.org/entity/Q918465 
0008-7998,http://www.wikidata.org/entity/Q926502 
1211-2119,http://www.wikidata.org/entity/Q935823 
1041-2859,http://www.wikidata.org/entity/Q951872 
0192-1940,http://www.wikidata.org/entity/Q952554 
1841-2726,http://www.wikidata.org/entity/Q954232 
1579-847X,http://www.wikidata.org/entity/Q966531 
0937-4167,http://www.wikidata.org/entity/Q968814 
0957-4484,http://www.wikidata.org/entity/Q972896 
1361-6528,http://www.wikidata.org/entity/Q972896 
1056-5493,http://www.wikidata.org/entity/Q975634 
1467-6265,http://www.wikidata.org/entity/Q978655 
0034-6527,http://www.wikidata.org/entity/Q980796 
1467-937X,http://www.wikidata.org/entity/Q980796 
1055-7660,http://www.wikidata.org/entity/Q995251 
0003-1186,http://www.wikidata.org/entity/Q1004394 
0096-3402,http://www.wikidata.org/entity/Q1004412 
1938-6958,http://www.wikidata.org/entity/Q1004394 
0007-5868,http://www.wikidata.org/entity/Q1005567 
0344-7634,http://www.wikidata.org/entity/Q1005565 
1611-4280,http://www.wikidata.org/entity/Q1019995 
0172-1895,http://www.wikidata.org/entity/Q1021387 
0932-5409,http://www.wikidata.org/entity/Q1021387 
0886-3032,http://www.wikidata.org/entity/Q1025912 
0017-9604,http://www.wikidata.org/entity/Q1029592 
0008-6606,http://www.wikidata.org/entity/Q1036274 
1240-0068,http://www.wikidata.org/entity/Q1043104 
0577-6287,http://www.wikidata.org/entity/Q1069462 
0170-5148,http://www.wikidata.org/entity/Q1077999 
0190-9215,http://www.wikidata.org/entity/Q1085036 
0006-5196,http://www.wikidata.org/entity/Q1086260 
0479-611X,http://www.wikidata.org/entity/Q1170039 
1240-0068,http://www.wikidata.org/entity/Q3400472 
0971-7528,http://www.wikidata.org/entity/Q279739 
1470-9856,http://www.wikidata.org/entity/Q282477 
0967-5590,http://www.wikidata.org/entity/Q285738 
1418-172X,http://www.wikidata.org/entity/Q304369 
1605-2544,http://www.wikidata.org/entity/Q306549 
1120-4982,http://www.wikidata.org/entity/Q309135 
0018-2613,http://www.wikidata.org/entity/Q315571 
0957-5243,http://www.wikidata.org/entity/Q325957 
1573-7225,http://www.wikidata.org/entity/Q325957 
0344-5704,http://www.wikidata.org/entity/Q326137 
0923-7534,http://www.wikidata.org/entity/Q326122 
1432-0843,http://www.wikidata.org/entity/Q326137 
1569-8041,http://www.wikidata.org/entity/Q326122 
0001-3374,http://www.wikidata.org/entity/Q331832 
0959-8049,http://www.wikidata.org/entity/Q332260 
1533-0028,http://www.wikidata.org/entity/Q332277 
1525-7304,http://www.wikidata.org/entity/Q332299 
1879-0852,http://www.wikidata.org/entity/Q332260 
0714-0045,http://www.wikidata.org/entity/Q338439 
0108-7673,http://www.wikidata.org/entity/Q343155 
0001-6322,http://www.wikidata.org/entity/Q343168 
1432-0533,http://www.wikidata.org/entity/Q343168 
0004-7813,http://www.wikidata.org/entity/Q354555 
0355-2047,http://www.wikidata.org/entity/Q366921 
1933-6160,http://www.wikidata.org/entity/Q369602 
0143-5221,http://www.wikidata.org/entity/Q372419 
1470-8736,http://www.wikidata.org/entity/Q372419 
0012-9682,http://www.wikidata.org/entity/Q375835 
1468-0262,http://www.wikidata.org/entity/Q375835 
